Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0002_1,0002_2,0002_3,0002_4,0002_5
211,15.0,,2506265.969743617,,,1960639.0154647517,2261543.7583806803,,1994056.7044366153,,,3065226.5814686352,
212,15.071428571428571,,2641237.32726906,2778611.4666343983,,2118869.672123273,2295695.806046934,,,2581784.1252862485,,2929430.8450917336,
213,15.142857142857142,,2550045.92661848,2710749.1841619285,2080257.7377816334,2066980.1329231965,2346750.210317226,,,,,3041090.9369331487,
214,15.214285714285714,,2384562.0086475145,2607673.010593897,,2177678.149173714,2388707.2246160926,,1975103.1292331978,,,2968101.8134582294,2862127.561804537
215,15.285714285714285,,2356057.5099328044,2734361.02435227,,2022968.0846248218,2363133.132047141,,,2359972.0693024076,,3081012.9089852907,2723744.1648730803
216,15.357142857142856,2206014.5167288426,2642084.9111358114,2612985.3350825207,,2088273.4397656766,2335981.9496265603,,,2533962.880728898,,2945988.169287051,
217,15.428571428571429,2261676.858420568,2496517.5055443426,,,,2355830.210893887,,,2515386.1205396894,,2705752.3945776676,
218,15.5,,2399917.9433960333,2851167.7879062495,,2328904.61167012,,,,2588310.330078342,,3113227.992446009,
219,15.571428571428571,2247076.5889015435,2546632.0806776914,2753908.961067008,,,2278236.494601909,,,,,3343833.7162354942,
220,15.642857142857142,,2445138.217660445,2720622.7390968115,,,2324467.19947478,,,2411720.976421114,,2944963.2323270612,2852205.555792318
221,15.714285714285714,,2449014.9032029966,2498788.7943688887,,,2214514.4323998196,,,,,2884376.368456029,2828962.0909478916
222,15.785714285714285,,2478567.3166782567,2377314.095184494,,,2305496.742047845,,,2502066.808629382,,3277428.24655493,2858440.9128264543
223,15.857142857142856,,2390464.7285633776,2315996.1783956336,,,,,1972439.1429250445,,,3035988.34212051,
224,15.928571428571429,,2527127.935287114,2330549.166589853,,,,,,,,2950497.693253972,
225,16.0,,2282770.584965417,2306829.6077940697,,2434889.3870825083,2389340.2553690895,,,2332891.623452316,,3007685.7618441246,
226,16.07142857142857,,2726580.1324713887,2635926.26877269,,2259491.2749221567,2400874.156037506,,,,,3165409.8261722038,
227,16.142857142857142,,2311758.99752965,2319266.5110628963,,,2152375.5093949474,,,,,3256876.8072363646,2849871.7864693403
228,16.21428571428571,,2489939.479035518,2599818.583420572,,,2323749.154709889,,,,,2943102.8260341953,
229,16.285714285714285,,2569982.148919561,,,,2362757.224484373,,,,,3152956.1587969763,
230,16.357142857142858,,2384750.920004408,,,,2193594.3696381436,,,2567642.6925431336,,,
231,16.428571428571427,,2668459.3877926883,,,,,,,2465744.0063811215,,3227784.896333388,2821957.693049445
232,16.5,,2649898.8484804467,,,,2282042.3063949826,,,2313859.024639769,2217320.002433069,2823383.7689234205,2804621.8587259147
233,16.57142857142857,,2602883.6558594177,,,,2287863.5905348966,,,,,3093938.7245384413,
234,16.642857142857142,,2570391.714913,,,2137874.680096214,2391708.9208390284,,,2293397.4707837244,,2910656.0388721656,
235,16.71428571428571,,2377959.6722514955,2273410.172190588,,,,,,2401466.738280645,,2622958.217948168,2805566.0725322375
236,16.785714285714285,,2487865.497408504,,,,,,,2495483.1257411633,,2842825.217210029,
237,16.857142857142858,,2591896.8228555676,,,,2371173.717689837,,,2252044.5652443576,,2977327.7420750703,2856158.5713605992
238,16.928571428571427,,2426855.182246341,2799863.388171595,,,,,,2168366.855576846,,2914145.5790682165,
239,17.0,,,2625226.704439093,,,2273404.5546438177,,,2456145.5501483753,,2801251.0063480106,
240,17.07142857142857,2262924.611019055,2374306.9453874007,2584960.714964382,,,2369286.832980847,,,,,2888094.8048031027,2804332.023663231
241,17.142857142857142,2228956.676138667,2531318.9012440345,,,,2301522.657405661,,,2188566.779959051,,2880462.1240538107,
242,17.21428571428571,,2609417.006739492,,,,2366645.3080275557,,,2376662.9386828337,,2773134.305193245,2758748.532201391
243,17.285714285714285,2296144.2735733474,2197993.270005905,2736310.5703925015,,,2201903.143861239,,,,,3161987.1364118615,
244,17.357142857142858,2109238.0133121964,2387802.626354516,,,,2314664.700019895,,,,,3031420.9419276607,
245,17.428571428571427,2141059.0440278444,2609932.408615787,,2252226.4814654533,,,,,,,2883778.265690134,2822371.7476591966
246,17.5,2200834.1634332505,2624804.825157091,,,,2318741.7033691853,,,2435097.777861195,,2837408.395128745,2787320.08385342
247,17.57142857142857,,2562975.597789856,,,,,,,2491545.6758707664,,3250647.604631937,
248,17.642857142857142,,2468771.872558604,,,,2364441.8201126046,,,,,2808441.2503903094,
249,17.71428571428571,,2578262.1732180724,2841541.1674385713,,,,,,2409476.1288220994,,2792774.8068250287,
250,17.785714285714285,,2486666.601321858,2605755.023718261,,,2236965.3391250833,,,2470120.700944165,,3054459.8702732883,2678029.4918642933
251,17.857142857142858,2241752.7586495248,2248632.6207344765,,,,2150190.086373995,,,2533004.048532353,,3117687.9076206437,2643697.2486583423
252,17.928571428571427,,2410638.610402863,,,,,,,,,3086673.5594397066,2570800.679337229
253,18.0,2284052.9040072924,2298771.4495981275,,,,2183626.9134071684,,,2437773.222061352,,2815856.186819949,
