Condition_mM,Track,Time,MidpointBendingAngle_deg,AutocorrPeakR,AutocorrPeriod_s,ZeroCrossings_10s,WindowAmplitude_deg,ThrashRate_Hz
21,0001_1,18.928571428571427,112.95697203589242,0.11353929087090614,1.3571428571425486,16,216.22599177759753,0.0
21,0001_1,19.0,120.16723668340057,0.12506514901153193,1.3571428571425486,16,216.22599177759753,0.0
21,0001_1,19.07142857142857,120.16723668340057,0.14422380760923662,1.3571428571425486,16,216.22599177759753,0.0
21,0001_1,19.142857142857142,,,,0,,
21,0001_1,19.21428571428571,3.1668478217669205,0.1695024477669391,1.3571428571425486,16,216.22599177759753,0.0
21,0001_1,19.285714285714285,3.1668478217669205,0.15478363451107283,1.3571428571425486,16,216.22599177759753,0.0
21,0001_1,19.357142857142858,,,,0,,
21,0001_1,19.428571428571427,44.860715961240146,0.16376207906736368,1.3571428571425486,17,216.22599177759753,0.0
21,0001_1,19.5,73.3405214517497,0.17032003203384682,1.4285714285711038,16,216.22599177759753,0.0
21,0001_1,19.57142857142857,73.3405214517497,0.1697410190326774,1.4285714285711038,16,216.22599177759753,0.0
21,0001_1,19.642857142857142,,,,0,,
21,0001_1,19.71428571428571,,,,0,,
21,0001_1,19.785714285714285,-29.358826121228073,0.20549292611074713,1.4285714285711038,16,216.22599177759753,0.7000000000001592
21,0001_1,19.857142857142858,,,,0,,
21,0001_1,19.928571428571427,9.849090429918371,0.22061279470143783,1.4285714285711038,16,216.22599177759753,0.7000000000001592
21,0001_1,20.0,,,,0,,
21,0001_1,20.07142857142857,56.02504870581016,0.23248060944554608,1.4285714285711038,17,216.22599177759753,0.7000000000001592
21,0001_1,20.142857142857142,56.02504870581016,0.23379593486121422,1.4285714285711038,17,216.22599177759753,0.7000000000001592
21,0001_1,20.21428571428571,,,,0,,
21,0001_1,20.285714285714285,-84.37346301742166,0.22813439803659874,1.4285714285711038,17,216.22599177759753,0.7000000000001592
21,0001_1,20.357142857142858,-84.37346301742166,0.22877362466852477,1.4285714285711038,18,216.22599177759753,0.7000000000001592
21,0001_1,20.428571428571427,,,,0,,
21,0001_1,20.5,35.45140481615132,0.2191411782725296,1.4285714285711038,18,216.22599177759753,0.7000000000001592
21,0001_1,20.57142857142857,35.45140481615132,0.2185199056014426,1.4285714285711038,19,216.22599177759753,0.7000000000001592
21,0001_1,20.642857142857142,,,,0,,
21,0001_1,20.71428571428571,-46.46166858304558,0.15526087099913835,1.4285714285711038,19,216.22599177759753,0.0
21,0001_1,20.785714285714285,-46.46166858304558,0.15526087099913835,1.4285714285711038,19,216.22599177759753,0.0
21,0001_1,20.857142857142858,,,,0,,
21,0001_1,20.928571428571427,37.4297862331702,0.15737086962925378,1.499999999999659,20,216.22599177759753,0.0
21,0001_1,21.0,54.67661662217646,0.15737086962925378,1.499999999999659,20,216.22599177759753,0.0
21,0001_1,21.07142857142857,54.67661662217646,0.15924963605862746,1.499999999999659,21,216.22599177759753,0.0
21,0001_1,21.142857142857142,,,,0,,
21,0001_1,21.21428571428571,,,,0,,
21,0001_1,21.285714285714285,,,,0,,
21,0001_1,21.357142857142858,50.4604380084208,0.1320708389086549,1.499999999999659,22,216.22599177759753,0.0
21,0001_1,21.428571428571427,39.96387232840738,0.10891970209813928,1.499999999999659,22,216.22599177759753,0.0
21,0001_1,21.5,29.46730664839397,0.10891970209813928,1.499999999999659,22,216.22599177759753,0.0
21,0001_1,21.57142857142857,7.208358000482566,0.11164623079154623,1.499999999999659,23,216.22599177759753,0.0
21,0001_1,21.642857142857142,-11.566938427594213,0.10315237880137718,0.6428571428569967,23,216.22599177759753,0.0
21,0001_1,21.71428571428571,,,,0,,
