Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3,0007_1,0007_2,0007_3
72,5.071428571428571,,2976182.6563297785,2248552.2767817434,2896832.150549559,1832820.077391763,2287946.53384779,1874246.8689706845,2570465.0692808987,2593913.9054924464,2304824.160871488,2500167.6191067914,2870953.445537514,3120211.368249721,2651779.3272094326,2786866.1491059517,2568349.207679775,2692430.713254764,2486796.8891508724,3462652.812944526,,
73,5.142857142857142,,3093548.2513425723,,2438096.556974308,2218028.738452114,2232686.2779076444,,2549798.807253133,2469481.8465958424,2388112.371446658,2304804.0632940102,2774639.4856933467,3210663.3739387696,2855156.315017719,,2439060.9246885725,2555863.4090790055,2240896.1903143427,3320243.094800162,,
74,5.214285714285714,,3187233.3743526526,,,2246230.169825715,2257221.4765555463,,2503142.624478528,2487949.6495010457,2283650.528228162,2397810.352266482,2714771.0338828093,2948839.8015650464,2804422.5174398897,,2590801.1515059276,2573311.775905303,2442740.9630387216,3468527.436932948,,
75,5.285714285714286,,,2219397.0677717803,,2453764.7837956254,2240310.2971123485,2099021.9651722047,2582573.2520868573,2629073.0783822737,2214942.6865159883,2381176.3464534073,2701294.127788293,3287243.780276936,2711584.2410167,,2606850.328371423,2340320.5337965395,2515664.800252811,3608006.9571593134,,
76,5.357142857142857,,2911513.12451417,2297486.2618051604,,2273285.8982590665,2389346.8656776994,2185277.5202321596,2350674.8951849127,2859893.628985412,,2325087.7169745304,2539544.5625013434,3071227.4593977747,2705433.4036726435,2810686.4303735327,2681226.26332172,2465285.4818399576,2772883.049686062,3428512.275854,,
77,5.428571428571428,,,2419081.8122579325,,2268143.7342334227,2250805.9565434256,2496025.87406014,2419049.539177102,,,2359939.301436672,2794919.324051326,3357796.819495241,2765402.3815995175,,2617008.806363036,2501576.3106572065,2575102.9738771347,3157657.356734147,,3235877.880558096
78,5.5,,,2345588.2924895487,,2037226.203250059,2493738.4356167167,1858297.7505106884,2394991.702250257,2657358.16153015,2279601.6532894983,2304145.491640446,2743357.409407118,3407579.2288954356,2600957.8765473585,,2438743.1791209197,2382886.6754758623,2677128.33652974,3305123.5298628784,,3251007.7040808806
79,5.571428571428571,,,,,2214559.755716245,2223141.240703467,1986805.132201464,2526190.8917461727,2682378.501631414,2181737.492302092,2373482.3668875024,2668525.7410830236,2953792.7734778733,2833737.607849953,,2494024.73610488,2564918.753385022,2533569.637964243,3320925.022431139,,3149292.2840784006
80,5.642857142857142,,2933030.6022463012,,,2208902.6258643116,2361907.5484380443,,2441917.578422514,2497836.8073076694,2148871.3120200178,2414081.5970568657,2899034.740715921,3185904.655472422,2906271.8115155827,3210450.7271306827,2408602.5103024915,2522758.8114484106,2576192.5793403364,3337256.511759694,,
81,5.7142857142857135,,2980664.003953069,2548128.1019325317,,2248783.968242113,2502779.41303238,2408545.651483549,2543626.874933906,2755682.919880181,2315724.1707915096,2474806.9677348495,2724738.5105551775,3148308.7411646615,2820856.5936383978,2904366.0078012403,2661312.722940323,2465350.633459215,2715655.743912982,3050639.1915757614,,
