Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0002_1,0002_2,0002_3,0002_4,0003_1,0003_10,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_10,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0004_9
194,13.785714285714285,,,,,1371297.1755849752,,,,,,,,,,,,2643433.586406057,2623307.8437364777,,,,,,,,,,,,2395213.651850496
195,13.857142857142856,,,,,1269573.197374021,,,,,,,,,,,,,2666453.4942376036,,,,,,,,,,2388383.925664819,,2332338.2513555605
196,13.928571428571429,,,,,,,,,,,,,,,,,2552798.924684355,2672369.5552180023,,2031907.0835477323,,,,,,,,2511437.273188254,,2163834.2517319364
197,14.0,,,,,1142298.413461035,,,,,,,,,,,,2337287.754408386,2260810.5168209416,,2005873.4369192093,,,,,,,,,,2080847.8225813506
198,14.071428571428571,,,,,1137032.6692094945,,,,,,,,,,,,2467852.952700647,1862972.043521989,,,,,,,,,,,,2073441.2426294882
199,14.142857142857142,,,,,,,,,,,,,,,,,2612531.8818532056,1862972.043521989,,,,,,,,,,2299473.1367917033,,2413084.6006900845
200,14.214285714285714,,,,,,,,,,,,,,,,,,1862972.043521989,,,,,,,,,,,,2468502.191971052
201,14.285714285714285,,,2182000.474559752,,,,,,,,,,,,,,,1862972.043521989,,,,,,,,,,,,
202,14.357142857142856,,,,,,,,,,,,,,,,,2588397.276999384,,,,,,,,,,,,,
203,14.428571428571429,,,,,,,,,,,,,,,,,2576224.9936393737,2606812.1749367644,,,,,,,,,,,,
204,14.5,,,2087107.9080770935,,,,,,,,,,,,,,2490017.531486638,2748547.258875121,,,,,,,,,,2518348.204978543,,2394338.587987324
205,14.571428571428571,,,,,,,,,,,,,,,,,2274607.003977598,2726649.425219134,,,,,,,,,,2198455.630293689,,2386643.3934315653
206,14.642857142857142,,,,,,,,,,,,,,,,,2323145.743408468,2836803.8764833566,,,,,,,,,,,,2399094.966527362
207,14.714285714285714,,,,,,,,,,,,,,,,,2622716.827167981,2707276.2998845046,,,,,,,,,,,,2462219.5399615136
208,14.785714285714285,,1506580.789647591,2114376.32127975,,,,,,,,,,,,,,2588312.6466440456,2754785.891177903,,,,,,,,,,,,2503103.1195471757
209,14.857142857142856,,1620986.6824278687,,,,,,,,,,,,,,,,2819442.977473683,,,,,,,,,,,,2434827.672305198
210,14.928571428571429,,,,,,,,,,,,,,,,,2617133.044423789,2792065.5276260446,,,,,,,,,,,,
211,15.0,,,,,,,,,,,,,,,,,2634956.8681665715,2669843.186121424,,,,,,,,,,,,2457619.8968911236
212,15.071428571428571,,1573699.2418175447,,,,,,,,,,,,,,,2486801.1316775116,2497735.5745221856,,,,,,,,,,,,
