Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0003_4,0003_5,0004_1,0004_2,0004_3,0004_4,0004_5
82,5.785714285714286,,,2275377.661495056,,,2066683.6862561428,,1930966.6692466468,,1826678.2337361327,2004382.5857561436,1817737.8371186077,,1787853.276012715,,,2148180.8124708217,
83,5.857142857142857,1840272.9214165015,,2108259.3749739914,,,2280506.170980467,,,2070986.005701111,1914244.4610898923,2150333.65591114,1874482.1153447607,,1789359.3959473174,,1791330.948905386,2195664.243207161,
84,5.928571428571428,1790551.5923164028,,2306198.199744544,,,2299107.5876339306,,,,1798009.7311611248,2034287.1262511122,1876949.388847387,,2005234.1046112946,,,,
85,6.0,1743908.0524038607,,2037281.68483978,,,2222668.0824685036,,1883358.039153042,,1778463.5942257964,2024724.7267839056,1747278.5049396623,,1985463.5930434875,,,,
86,6.071428571428571,,,2257409.15605512,,,,,,2122100.172158701,1855536.2971532478,1969281.2090503844,1597776.982069833,,2077176.898555123,,,,
87,6.142857142857142,1854597.6678252295,,1952995.2483176652,,,2301776.9282021206,,,2006045.230623052,1824237.244198008,1964590.0207623614,1648423.0798681818,,1724999.53482439,,1748790.540705528,2096463.645794855,
88,6.2142857142857135,1844145.643473797,,2123481.7206071694,,,2245922.3163697897,,1685414.2267119554,,1720839.0531615866,2196300.249292588,1957716.7751666089,,1782114.5452264205,,1806069.5613052917,,
89,6.285714285714286,1758861.8273717784,,2174046.8174397345,,,,,1764709.1021921374,2138547.636689037,1798833.2081680999,2165610.9581277044,1926992.5168046448,,1887139.412059656,,,2153476.66815474,
90,6.357142857142857,,,2029962.0730915263,,,2427705.357509552,,1772849.7245323192,1946134.2499110792,1750807.4538345842,2201981.039741115,1768420.8520773228,,1973851.4265926736,,,,
91,6.428571428571428,1576817.399304031,,2204175.0627052714,,,2184723.6283120564,,,2002951.750208139,1744042.4748818488,2126248.4069142765,1706751.5244250984,,2096356.1146210462,,,,
92,6.5,,,1861018.4616128705,,,2236597.659761123,,1881598.2488304873,2087358.7447815766,1700636.4256089749,2264645.2585812486,1781652.3264306316,,1701362.452951864,,,2118367.4751630374,
93,6.571428571428571,,,2140940.2615181995,,,2329477.6530570798,,,,1629213.3090211474,1885547.7269166196,1864977.7590398921,,1921730.1044580904,,,1940159.581574036,
94,6.642857142857142,1782751.6564058682,,2153497.991358565,,,2137099.6573284646,,1966317.2896536884,,1815244.7106176186,2038302.205676537,2057466.102429919,,1900828.7273897997,,,,
95,6.7142857142857135,1859391.2117930686,,2284107.602822051,,,,,,2134639.9679747843,1860163.5741131722,1979909.3908885836,1771724.1500057322,,1826337.151042436,,,2142443.603427172,
96,6.785714285714286,1839446.2342111631,,2167113.5657735826,2091562.348387384,,2466518.9080503182,,,,1724156.6908384592,1966487.7118923625,1679317.0307647237,,1867537.6588008995,,,2119859.66421567,
